ключ	статус	строка_книги	где	файлы_html	текст
rhi_04	только_книга	369	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Один час съёмки в разрезе: сколько получаете вы и сколько уходит на всё остальное
rhi_05	только_книга	371	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Сколько вы получаете сейчас и сколько могли бы
rhi_06	только_книга	377	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Скопируйте и отправьте клиенту. Чем длиннее съёмка, тем дешевле час — за счёт накладных, а не вашего дохода
rhi_07	только_книга	383	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): —
rhi_08	только_книга	385	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Точка безубыточности — здесь вы не зарабатываете, но и не доплачиваете
rhi_09	ok	392	Полный отчёт	web/report.html	Реальная структура рабочей недели: чтобы провести несколько часов на площадке, вы работаете полную пятидневку
rhi_10	только_книга	394	Полный отчёт		В студии фотограф только снимает и обрабатывает. Всё остальное делают другие сотрудники — а у вас это тоже ваша работа
rhi_11	ok	403	Полный отчёт	web/report.html	Проверим: можно ли выйти на желаемый доход, не поднимая цену для заказчика, — только за счёт объёма работ
rhi_12	ok	407	Полный отчёт	web/report.html	Посчитали все семь режимов на ваших цифрах и подобрали тот, где вы отдадите меньше всего
rhi_13	только_книга	414	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML: подзаголовок про «клиент не видит всей картины» перенесён в блок-заключение (rfn_05)
rhi_14	только_книга	423	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Пять дней по восемь часов. Каждый квадрат — один час работы
rhi_15	только_книга	449	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Разверните каждую строку из расчёта. Это те задачи, которые вы делаете, но обычно не считаете
rhi_17	только_книга	456	Полный отчёт		Ставку умножают на часы съёмки — и получают цифру, которой на самом деле не будет
rhi_18	только_книга	469	Полный отчёт		Даём скидку только за объём
rhi_19	только_книга	471	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Если уступить, не увеличивая объём, разницу вы платите из своего кармана: расходы и налоги не сокращаются вместе с ценой
rhi_20	ok	491	Полный отчёт	web/report.html	Они выведены из вашего расчёта и пригодятся в любом разговоре о деньгах
rin_01	только_книга	457	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Как считают обычно и как надо
rin_02	только_книга	458	Полный отчёт		Кажется, что получится
rin_03	только_книга	459	Полный отчёт		Останется на самом деле
rin_04	только_книга	460	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Сколько стоит скидка
rin_05	только_книга	461	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Расходы, налоги и комиссия не уменьшаются вместе с ценой — скидку вы платите целиком из своего дохода.
rin_06	только_книга	464	Полный отчёт		в месяц
rin_07	только_книга	465	Полный отчёт		Ставка × часы съёмки. В этой цифре нет ни техники, ни рекламы, ни налогов, ни часов обработки
rin_08	только_книга	466	Полный отчёт		в месяц
rin_09	только_книга	467	Полный отчёт		После расходов на технику и рекламу, налогов и комиссии банка — при той же ставке и загрузке
rk_01	ok	354	Полный отчёт	web/report.html	Всего расходов
rk_02	ok	355	Полный отчёт	web/report.html	Общая выручка
rk_03	ok	356	Полный отчёт	web/report.html	Ваш доход на руки
rk_04	только_HTML			web/report.html	
rk_05	только_HTML			web/report.html	
rk_06	только_HTML			web/report.html	
rlb_01	ok	352	Полный отчёт	web/report.html	Ваша ставка за час съёмки
rlb_02	ok	353	НЕ ИСПОЛЬЗУЕТСЯ	web/report.html	УДАЛЕНО из HTML: подпись «за час съёмки» — единица теперь в самой цифре (₽/ч), под ней в скобках точное значение
rlb_03	только_книга	518	Полный отчёт		Фактическая стоимость вашего часа работы — {747 ₽/ч}
rlg_01	ok	594	Полный отчёт, блок «Логистика»	web/report.html	Логистика в расчёт не входит
rlg_02	ok	595	Полный отчёт, блок «Логистика»	web/report.html	Дорога, бензин, такси и парковка по закону ложатся на исполнителя. Определите зону, куда выезжаете по базовой цене, например в пределах города. За её границы добавляйте к смете стоимость дороги в обе стороны и время в пути. Час за рулём — это тоже рабочий час.
rlg_03	только_книга	596	Полный отчёт, блок «Логистика»		Съёмка на другом конце города или выезд за город съедают часы и деньги, которых нет ни в одном расчёте. Либо считайте логистику отдельной строкой в счёте, либо закладывайте её в цену конкретного заказа — иначе она вычитается прямо из вашего дохода.
rmb_01	ok	386	Полный отчёт	web/report.html	Точка безубыточности / Съёмка в ноль
rmb_02	только_книга	387	Полный отчёт		Ставка часа
rmb_03	только_книга	388	Полный отчёт		Цена съёмки
rmb_04	ok	389	Полный отчёт	web/report.html	Главная ловушка в том, что эти расходы капают каждый месяц независимо от того, есть у вас заказы или нет. Из-за этого математика работает безжалостно: чем меньше съёмок удаётся найти, тем выше поднимается эта точка безубыточности, потому что вся аренда и подписки раскидываются на жалкие пару заказов.
rmb_05	ok	624	Полный отчёт, блок 05	web/report.html	Это та самая черта, за которой начинается работа в минус. Если стоимость будет ниже этой границы, вы не просто остаётесь без прибыли — вы буквально сами доплачиваете своим клиентам за то, что выполняете для них работу.
rmb_06	ok	625	Полный отчёт, блок 05	web/report.html	Сюда входят все обязательные расходы, которые вам придётся оплачивать в любом случае: аренда, подписки на софт, амортизация камер и света, реклама, налоги, страховые взносы и банковские комиссии. Полный список — в блоке «Все цифры расчёта в одной таблице», раздел «Расходы за год».
rmb_07	ok	626	Полный отчёт, блок 05	web/report.html	Чего здесь нет — вас! Ни секунды вашего времени. Вся съёмка, многочасовая обработка, бесконечные переписки с клиентами остаются полностью бесплатными, а проезд до съёмочной площадки вы оплачиваете из своего кармана.
rmb_08	только_книга	635	Полный отчёт, блок 05 — схема безубыточности		Пришло от клиентов
rmb_09	только_книга	636	Полный отчёт, блок 05 — схема безубыточности		Все оплаты за съёмки за год
rmb_10	только_книга	637	Полный отчёт, блок 05 — схема безубыточности		Ушло на работу
rmb_11	только_книга	638	Полный отчёт, блок 05 — схема безубыточности		Аренда, подписки, реклама
rmb_12	только_книга	639	Полный отчёт, блок 05 — схема безубыточности		Амортизация техники
rmb_13	только_книга	640	Полный отчёт, блок 05 — схема безубыточности		Налоги, взносы, комиссия банка
rmb_14	только_книга	641	Полный отчёт, блок 05 — схема безубыточности		Себе — ноль. Год отработан, а денег на жизнь не осталось
rnm_01	только_книга	395	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Работа фотографа
rnm_02	только_книга	396	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): то, за что вас наняли бы в студию
rnm_03	только_книга	397	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): часа в день — съёмка и обработка
rnm_04	только_книга	398	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Работа работодателя
rnm_05	только_книга	399	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): это вы тоже делаете сами, бесплатно
rnm_06	только_книга	400	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): часа в день — продажи, реклама, учёт
rnm_07	только_книга	401	Полный отчёт		Каждая из этих ролей в штате — отдельный человек с окладом. Работая на себя, вы закрываете их все, но оплачивается только съёмка. Поэтому ставка часа должна покрывать не один час с камерой, а весь рабочий день.
rogr_npd5	только_книга	615	Полный отчёт, блок 04		В Налоговом кодексе РФ для НПД предусмотрены только две ставки — 4% при работе с физическими лицами и 6% с юридическими лицами и ИП. Расчётные 5% — это усреднённое значение для примера. Если вы работаете только с физлицами или наоборот только с компаниями, ориентируйтесь на фактические строки 4% и 6% в таблице ниже.
rph_01	только_книга	587	Полный отчёт · опрос		УДАЛЕНО из HTML: опрос в отчёт не переносим, он остаётся в форме — Расскажите, что вам нужно ещё
rph_02	только_книга	588	Полный отчёт · опрос		УДАЛЕНО из HTML: опрос в отчёт не переносим, он остаётся в форме — Мы только начинаем и хотим делать то, что действительно пригодится. Отметьте сердечком, какое направление доработать в первую очередь — ваш совет решает.
rpm_01	только_книга	415	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Диагноз из вашего же расчёта
rpm_02	только_книга	416	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Начать сегодня
rpm_03	только_книга	417	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Регулярно
rpm_04	только_книга	418	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Когда пойдёт поток
rpm_05	только_книга	419	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Почему про цену нужно говорить вслух
rpm_06	только_книга	420	Полный отчёт		В эксперименте психолога Эллен Лангер людей пропускали без очереди к копиру втрое чаще, если они добавляли «потому что» и называли причину — даже пустяковую. Само наличие объяснения снимает сопротивление. С ценой так же: «стоит 19 000» вызывает торг, «стоит 19 000, потому что…» вызывает понимание.
rpm_07	только_книга	421	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Пять тем, которые можно снять из этого отчёта
rpm_08	только_книга	428	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Времени на продвижение
rpm_09	только_книга	429	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): часа в день вы заложили в расчёт
rpm_10	только_книга	430	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Минимум для системной работы
rpm_11	только_книга	431	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Денег на рекламу
rpm_12	только_книга	432	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): процентов выручки уходит на платные каналы
rpm_13	только_книга	433	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Ориентир для сферы услуг
rpm_14	только_книга	434	Полный отчёт		Специалисты часто проигрывают бизнесу, поскольку просто не считают свою юнит-экономику
rpm_15	только_книга	435	Полный отчёт		Смотрите: селлеры на маркетплейсах считают каждую копейку вслух — в прямых эфирах, в своих соцсетях. Разбирают закупку, логистику, комиссии, налоги, и аудитория привыкла, что за ценой стоит расчёт. А фотографы молчат. В итоге клиент искренне уверен, что платит за «пару часов и фоточки», а не за производство. Вы тоже бизнес — пусть микро, но по документам бизнес: с оборудованием, налогами, отчётностью и расходами. Значит, и подход должен быть как у бизнеса. Разница между бизнесом и специалистом не в обороте, а в том, что бизнес умеет объяснить свою цену.
rpm_16	ok	603	Полный отчёт, блок 08	web/report.html	Когда за ценой виден расчёт, торг сменяется пониманием. Это не мнение — это измеренный эффект
rpm_17	ok	609	Полный отчёт, блок 08	web/report.html	Больше клиентов
rpm_18	ok	604	Полный отчёт, блок 08	web/report.html	+21% чаще покупают, когда видят, из чего складывается цена
rpm_19	только_книга	439	Полный отчёт		Столько занимает один заказ целиком: подготовка, съёмка, отбор, обработка, передача
rpm_19b	ok	614	Полный отчёт, блок 08	web/report.html	Меньше торга
rpm_20	ok	605	Полный отчёт, блок 08	web/report.html	+34% чаще соглашаются, когда названа причина цены
rpm_20b	только_книга	612	Полный отчёт, блок 08		Покупают
rpm_21	только_книга	441	Полный отчёт		Из 500 кадров клиент получит 50. Остальное — отбор, цвет, ретушь, которые он не увидит
rpm_22	ok	606	Полный отчёт, блок 08	web/report.html	87% покупателей готовы платить больше тем, кому доверяют
rpm_22b	ok	613	Полный отчёт, блок 08	web/report.html	Выше ценник
rpm_23	только_книга	443	Полный отчёт		Остальное из цены часа уходит на технику, рекламу, налоги и комиссии банка
rpm_24	ok	607	Полный отчёт, блок 08	web/report.html	Источники: Гарвардская школа бизнеса и Университет Сан-Франциско, шесть экспериментов с раскрытием себестоимости, Marketing Science, 2020 · эксперимент Эллен Лангер, Гарвард, 1978 · исследование доверия к брендам Salsify
rpm_25	ok	608	Полный отчёт, блок 08	web/report.html	Вы посчитали свою юнит-экономику! Теперь у вас есть железобетонные цифры, которых нет у большинства коллег, — и полный карт-бланш говорить о стоимости без оправданий.
rpm_26	только_книга	446	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Как это говорить
rpm_27	только_книга	447	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Каналы по усилию: начните с левой колонки, она даёт заявки быстрее всего
rpm_28	только_книга	482	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Не оправдывайтесь — объясняйте
rpm_29	только_книга	483	Полный отчёт		«Стоит столько, потому что
rpm_30	только_книга	484	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Показывайте процесс, а не результат
rpm_31	только_книга	485	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Снимите, как отбираете кадры из пятисот, как правите цвет. Клиент впервые увидит работу, за которую платит
rpm_32	только_книга	486	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Называйте цифры
rpm_33	только_книга	487	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Абстрактное «это долго» не работает. Работает «на одну съёмку уходит столько-то часов» — конкретика вызывает доверие
rpm_34	только_книга	488	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Говорите регулярно, а не в ответ на торг
rpm_35	только_книга	489	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Если объяснять цену только когда просят скидку, это звучит как отговорка. Если рассказывать постоянно — как экспертиза
rpn_01	только_книга	472	Полный отчёт		Что входит в каждую строку расчёта
rpn_02	только_книга	473	Полный отчёт		Эти же пояснения есть в форме под каждым вопросом — разверните «что сюда входит», если захотите пересчитать точнее.
rrc_00	только_книга	504	Полный отчёт		Рекомендуем
rrc_01	только_книга	505	Полный отчёт		Два запаса, которые стоит заложить в цену
rrc_02	только_книга	506	Полный отчёт		В основной расчёт они не входят — там только то, без чего работа не состоится. Здесь считаем, во что обойдётся запас прочности
rrc_03	только_книга	507	Полный отчёт		Запас 1
rrc_04	только_книга	508	Полный отчёт		Фонд развития
rrc_05	только_книга	509	Полный отчёт		Амортизация в расчёте покрывает только замену того, что уже есть: камера вышла из строя — купили такую же. На новое стекло, второй корпус или курс денег в этой схеме нет. Фонд развития — это процент выручки, который вы откладываете заранее, чтобы расти без кредита.
rrc_06	только_книга	510	Полный отчёт		Малый бизнес реинвестирует 20–30% чистой прибыли. Для соло-специалиста это неприменимо: прибыль здесь и есть ваша зарплата. Поэтому считаем от выручки — как рекламу.
rrc_07	только_книга	511	Полный отчёт		Сколько откладывать, % от выручки
rrc_08	только_книга	512	Полный отчёт		Запас 2
rrc_09	только_книга	513	Полный отчёт		Запас на скидку
rrc_10	только_книга	514	Полный отчёт		Скидка за объём выше уже посчитана — она берётся из накладных и ваш доход не трогает. Но если вы хотите иметь право дать скидку просто так, её нужно заложить в цену заранее. Внимание: чтобы после скидки 10% остаться при своих, поднять цену надо на 11,1%, а не на 10%.
rrc_11	только_книга	515	Полный отчёт		Формула: новая цена = базовая ÷ (1 − скидка). Делить, а не умножать — в этом вся разница.
rrc_12	только_книга	516	Полный отчёт		Максимальная скидка, которую хотите давать
rrf_01	ok	598	Полный отчёт, справочник	web/report.html	Справочник: что означает каждое понятие
rrf_02	ok	599	Полный отчёт, справочник	web/report.html	Эти же пояснения есть в форме под каждым вопросом — разверните «что сюда входит», если захотите пересчитать точнее.
rs_01	только_книга	372	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Хотите получать
rs_02	только_книга	373	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): на руки каждый месяц, после всех расходов и налогов
rs_03	только_книга	374	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Получаете сейчас
rs_04	только_книга	375	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): при вашей текущей ставке и той же загрузке
rsc_01	ok	497	Полный отчёт, блок 06 — синее уведомление	web/report.html	Всё ещё хотите просто работать больше? Задайтесь вопросом — зачем.
rsc_02	ok	498	Полный отчёт, блок 06 — синее уведомление	web/report.html	Объёмом этот разрыв уже не закрыть. Единственный рычаг, который меняет реальность, — это честная цена часа вашей работы.
rsc_h1	только_книга	519	Полный отчёт		УДАЛЕНО из HTML: блок «Как мы считаем» убран, плашки объединены с условиями труда — Как мы считаем
rsc_lg1	только_книга	633	Полный отчёт, блок 05		Ваш доход на руки
rsc_lg2	только_книга	634	Полный отчёт, блок 05		Расходы в совокупности
rsc_n1	только_книга	627	Полный отчёт, блок 05		реальный
rsc_n2	только_книга	629	Полный отчёт, блок 05		идеальный
rsc_n3	только_книга	631	Полный отчёт, блок 05		в ноль
rsc_out1	только_книга	642	Полный отчёт, блок 06 — под плашками		Математика неумолима — вам придётся работать на пределе человеческих возможностей: без отпусков, почти без выходных, игнорируя болезни и собственные потребности.
rsc_out2	только_книга	643	Полный отчёт, блок 06 — под плашками, мягкий вариант		График плотный, но выполнимый. Решать вам: брать больше заказов или поднять цену.
rsc_p1	только_книга	520	Полный отчёт		УДАЛЕНО из HTML: блок «Как мы считаем» убран, плашки объединены с условиями труда — Мы опираемся на производственный календарь и нормы Трудового кодекса — те же условия, на которые имеет право любой наёмный сотрудник.
rsc_t1	только_книга	628	Полный отчёт, блок 05		Ваш текущий доход
rsc_t2	только_книга	630	Полный отчёт, блок 05		Необходимый доход
rsc_t3	только_книга	632	Полный отчёт, блок 05		Дохода нет
rsm_01	только_книга	522	Полный отчёт		УДАЛЕНО из HTML: блок «Как мы считаем» убран, плашки объединены с условиями труда — официальные условия труда, признанные государством нормой
rsm_02	только_книга	524	Полный отчёт		УДАЛЕНО из HTML: блок «Как мы считаем» убран, плашки объединены с условиями труда — и один больничный — болеть никто не планирует, но мы заложили
rsm_03	только_книга	526	Полный отчёт		УДАЛЕНО из HTML: блок «Как мы считаем» убран, плашки объединены с условиями труда — восемь часов в день, как у всех
rsv_01	ok	462	Полный отчёт	web/report.html	Сохранить отчёт в PDF
rsv_02	только_книга	463	Полный отчёт		В шапке ставка округлена до 500 ₽ — так её проще держать в голове и называть. Все расчёты в отчёте идут по точному значению, без округлений
rt_01	только_HTML			web/report.html	
rt_02	только_HTML			web/report.html	
rt_03	только_HTML			web/report.html	
rt_04	только_HTML			web/report.html	
rtb_01	ok	600	Полный отчёт, таблица	web/report.html	Все цифры расчёта в одной таблице
rtb_02	ok	601	Полный отчёт, таблица	web/report.html	Полная выгрузка: время, проект, доход, расходы, налоги и ставки
rth_01	только_книга	363	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Роль
rth_02	только_книга	364	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): ₽ в месяц
rth_03	только_книга	365	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): ₽ за съёмку
rth_04	только_книга	366	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Часов в день
rth_05	только_книга	367	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): ₽ с часа съёмки
rth_06	только_книга	378	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Длительность съёмки
rth_07	только_книга	379	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Цена съёмки
rth_08	только_книга	380	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Цена часа
rth_09	только_книга	381	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): Скидка от базовой
rth_10	ok	408	Полный отчёт	web/report.html	Режим
rth_11	только_книга	409	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML: колонка «Выручка в год» — раньше под каждый режим подбиралась своя выручка, теперь все режимы считаются на одной реальной выручке пользователя
rth_12	только_книга	410	Полный отчёт		Налоги и взносы
rth_13	ok	411	Полный отчёт	web/report.html	Нагрузка
rth_14	только_книга	412	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML: колонка «Ставка часа» — была производной от подобранной выручки, стала бессмысленной
rth_14b	ok	616	Полный отчёт, блок 04	web/report.html	Всего за год
rth_15	только_книга	451	Полный отчёт		Остаётся на руки
rth_16	только_книга	452	Полный отчёт		В месяц
rth_17	только_книга	453	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): ₽ за съёмку
rth_18	только_книга	454	НЕ ИСПОЛЬЗУЕТСЯ		УДАЛЕНО из HTML (не используется в текущей вёрстке): ₽ в месяц
rth_ac	ok	621	Полный отчёт, блок 04	web/report.html	Бухгалтерия / год
rth_dp	ok	620	Полный отчёт, блок 04	web/report.html	Взносы +1% / год
rth_fx	ok	619	Полный отчёт, блок 04	web/report.html	Взносы фикс. / год
rth_hd	ok	622	Полный отчёт, блок 04	web/report.html	Сравнение режимов налогообложения на ваших цифрах
rth_hs	ok	623	Полный отчёт, блок 04	web/report.html	Посмотрите, какой вариант действительно приносит максимальную чистую прибыль и на каких условиях вам будет комфортнее работать.
rth_lm	только_HTML			web/report.html	
rth_r1	только_HTML			web/report.html	
rth_r2	только_HTML			web/report.html	
rth_r3	только_HTML			web/report.html	
rth_r4	только_HTML			web/report.html	
rth_r5	только_HTML			web/report.html	
rth_st	ok	617	Полный отчёт, блок 04	web/report.html	Ставка
rth_tx	ok	618	Полный отчёт, блок 04	web/report.html	Налог / год
rthx_01	только_HTML			web/report.html	
rthx_02	только_HTML			web/report.html	
rthx_03	только_HTML			web/report.html	
rthx_04	ok	648	Отчёт · баннер «Поблагодарить проект», описание	web/report.html	Так мы будем знать, что сервис вам нужен, и сможем развивать его и сохранять бесплатным для всех специалистов креативной индустрии.
rthx_05	ok	647	Отчёт · пояснение под кнопкой «Поблагодарить проект»	web/report.html	Так мы будем знать, что сервис вам нужен, и сможем развивать его и сохранять бесплатным для всех специалистов креативной индустрии.
rtp_01	только_книга	521	Полный отчёт		УДАЛЕНО из HTML: блок «Как мы считаем» убран, плашки объединены с условиями труда — Мы считаем по норме
rtp_02	только_книга	523	Полный отчёт		УДАЛЕНО из HTML: блок «Как мы считаем» убран, плашки объединены с условиями труда — Право на отдых
rtp_03	только_книга	525	Полный отчёт		УДАЛЕНО из HTML: блок «Как мы считаем» убран, плашки объединены с условиями труда — Рабочая неделя
rtr_f1	только_книга	543	Полный отчёт		УДАЛЕНО из HTML: блок «Почему этому расчёту можно верить» убран — Каждая цифра в отчёте раскладывается на составные части — вы можете проверить любую и объяснить её клиенту.
rtr_h1	только_книга	533	Полный отчёт		УДАЛЕНО из HTML: блок «Почему этому расчёту можно верить» убран — Почему этому расчёту можно верить
rtr_h2	только_книга	534	Полный отчёт		УДАЛЕНО из HTML: блок «Почему этому расчёту можно верить» убран — Мы не сравнивали вас с рынком и не спрашивали, сколько берут коллеги. Всё посчитано из ваших ответов
rtr_s1	только_книга	536	Полный отчёт		УДАЛЕНО из HTML: блок «Почему этому расчёту можно верить» убран — Вы назвали сумму, которую хотите получать на руки. Дальше расчёт идёт назад: прибавили расходы, налоги и комиссию банка — и вышли на выручку, при которой эта сумма действительно останется у вас.
rtr_s2	только_книга	538	Полный отчёт		УДАЛЕНО из HTML: блок «Почему этому расчёту можно верить» убран — В году 1 752 рабочих часа, а клиент оплачивает 229 — это 13%. Обработка, переписка, продвижение и учёт заложены в цену часа, потому что иначе их не оплатит никто.
rtr_s3	только_книга	540	Полный отчёт		УДАЛЕНО из HTML: блок «Почему этому расчёту можно верить» убран — Отпуск, больничный, выходные и восьмичасовой день — по Трудовому кодексу. В найме за них платит работодатель, у вас их стоимость должна быть в ставке.
rtr_s4	только_книга	542	Полный отчёт		УДАЛЕНО из HTML: блок «Почему этому расчёту можно верить» убран — Ставки и лимиты 2026 года, взносы ИП, вычет взносов из налога. Каждый режим посчитан на вашей реальной выручке — разница между лучшим и худшим бывает в сотни тысяч за год.
rtr_t1	только_книга	535	Полный отчёт		УДАЛЕНО из HTML: блок «Почему этому расчёту можно верить» убран — Считали от вашего дохода, а не от чужих цен
rtr_t2	только_книга	537	Полный отчёт		УДАЛЕНО из HTML: блок «Почему этому расчёту можно верить» убран — Учли всё время, а не только съёмку
rtr_t3	только_книга	539	Полный отчёт		УДАЛЕНО из HTML: блок «Почему этому расчёту можно верить» убран — Взяли нормы закона, а не «сколько получится»
rtr_t4	только_книга	541	Полный отчёт		УДАЛЕНО из HTML: блок «Почему этому расчёту можно верить» убран — Проверили все семь налоговых режимов
rzp_01	только_книга	644	Полный отчёт, блок 03 — запас есть		Скидку можно дать и просто так — если заложили запас
rzp_02	только_книга	645	Полный отчёт, блок 03 — запас есть		В анкете вы заложили в цену {P}% запаса. Это ещё до {R} с часа, которые можно уступить по своему решению, и ваш доход не пострадает. Ниже {M}/ч скидка начнёт съедать ваш заработок. Обе скидки складываются: за объём и из запаса.
rzp_03	только_книга	646	Полный отчёт, блок 03 — запаса нет		Запас на скидку не заложен. Если хотите иметь возможность сформировать программу лояльности и давать скидки своим клиентам не только за объём — вернитесь в анкету и включите «Запас на скидку».
s2_01	только_книга	337	Форма · подписка на email		Хотите получать рассылку?
s2_02	только_книга	338	Форма · подписка на email		Напишем, когда выйдет то, что вы отметили. Без спама, отписка в один клик.
s2_btn	только_книга	339	Форма · подписка на email		Подписаться
s2_ok	только_книга	340	Форма · подписка на email		Готово! Спасибо, что остаётесь с нами.
sd_01	только_книга	271	Форма · блок оплаты (paywall)		Три вещи, которые меняют разговор о цене: понятный план на месяц, обоснованные скидки и граница, ниже которой нельзя.
sh_01	ok	100	Форма · вопросы анкеты	web/calc.html	Подписки
sh_02	ok	110	Форма · вопросы анкеты	web/calc.html	Разовые покупки
sh_03	ok	158	Форма · вопросы анкеты	web/calc.html	Обустройство рабочего места
sh_04	ok	218	Форма · вопросы анкеты	web/calc.html	Регулярные платежи
sh_05	ok	228	Форма · вопросы анкеты	web/calc.html	Комиссии банка
shd_01	ok	102	Форма · вопросы анкеты	web/calc.html	Лицензии и сервисы, за которые вы регулярно платите.
shd_02	ok	112	Форма · вопросы анкеты	web/calc.html	Программы и лицензии, которые вы оплачивали один раз и используете длительное время.
shd_03	ok	160	Форма · вопросы анкеты	web/calc.html	Укажите разовые вложения в создание и обустройство рабочего места.

